Entry Price,Exit Price,Trade Duration,Trade Type,Profit/Loss
139.95,170.65,0 days 00:10:00,Long,Profit
177.35,152.25,0 days 00:04:00,Short,Loss
147.25,125.75,0 days 00:23:00,Long,Loss
131.0,166.55,0 days 00:09:00,Short,Profit
163.45,143.0,0 days 00:30:00,Long,Loss
131.35,107.8,0 days 00:02:00,Long,Loss
119.3,149.8,0 days 00:29:00,Short,Profit
145.1,124.3,0 days 00:10:00,Long,Loss
126.0,162.25,0 days 00:23:00,Short,Profit
158.8,133.1,0 days 01:21:00,Long,Loss
138.4,113.5,0 days 01:01:00,Short,Loss
114.6,163.45,0 days 00:03:00,Short,Profit
167.35,199.45,0 days 00:20:00,Short,Profit
193.3,459.45,27 days 18:40:00,Long,Profit
455.2,416.8,0 days 00:01:00,Long,Loss
435.6,415.45,0 days 00:09:00,Short,Loss
420.0,390.9,0 days 00:02:00,Short,Loss
398.0,377.3,0 days 00:07:00,Short,Loss
380.0,357.3,0 days 00:39:00,Short,Loss
357.2,335.35,0 days 01:53:00,Long,Loss
335.95,366.0,0 days 00:22:00,Short,Profit
363.25,394.05,0 days 00:03:00,Long,Profit
400.55,436.75,0 days 00:11:00,Short,Profit
438.2,415.3,0 days 00:02:00,Short,Loss
411.05,387.05,0 days 00:06:00,Long,Loss
401.75,380.05,0 days 00:18:00,Short,Loss
374.5,343.4,0 days 00:19:00,Long,Loss
349.1,326.1,0 days 00:09:00,Short,Loss
332.4,307.85,0 days 01:05:00,Short,Loss
293.4,269.55,0 days 00:21:00,Long,Loss
257.25,225.05,0 days 00:05:00,Long,Loss
223.9,255.55,30 days 17:52:00,Long,Profit
246.5,281.45,0 days 00:05:00,Long,Profit
301.15,331.7,0 days 00:03:00,Short,Profit
325.4,303.6,0 days 00:35:00,Long,Loss
301.55,281.1,0 days 00:02:00,Long,Loss
284.65,260.7,0 days 00:05:00,Short,Loss
265.45,239.9,0 days 00:06:00,Short,Loss
238.9,218.35,0 days 01:11:00,Long,Loss
221.65,194.55,0 days 00:18:00,Short,Loss
190.0,168.95,0 days 00:28:00,Long,Loss
162.4,201.0,0 days 01:28:00,Long,Profit
200.95,174.3,0 days 00:22:00,Long,Loss
171.65,128.65,90 days 19:03:00,Long,Loss
154.6,121.55,0 days 00:05:00,Short,Loss
128.25,99.5,0 days 00:05:00,Short,Loss
105.15,83.85,0 days 01:41:00,Short,Loss
82.8,61.1,0 days 01:28:00,Long,Loss
62.5,42.5,0 days 02:02:00,Short,Loss
41.5,42.55,0 days 00:48:00,Long,End of Day
